date,region,coal,gas_naptha_and_diesel,hydro,lignite,nuclear,res_wind_solar_biomass_and_others,solar_gen_mu,thermal_coal_and_lignite,total,wind_genmu
2013-05-20,WR,,,50.0,,,,,,859.0,29.0
2013-05-21,ER,,,53.0,,,,,,316.0,0.0
2013-05-21,NER,,,12.0,,,,,,33.0,0.0
2013-05-21,NR,,,275.0,,,,,,901.0,18.0
2013-05-21,SR,,,31.0,,,,,,698.0,52.0
2013-05-21,WR,,,47.0,,,,,,874.0,40.0
2013-05-22,ER,,,57.0,,,,,,318.0,0.0
2013-05-22,NER,,,12.0,,,,,,31.0,0.0
2013-05-22,NR,,,279.0,,,,,,907.0,12.0
2013-05-22,SR,,,33.0,,,,,,727.0,86.0
2013-05-22,WR,,,44.0,,,,,,876.0,49.0
2013-05-23,ER,,,54.0,,,,,,319.0,0.0
2013-05-23,NER,,,13.0,,,,,,31.0,0.0
2013-05-23,NR,,,275.0,,,,,,912.0,15.0
2013-05-23,SR,,,34.0,,,,,,720.0,92.0
2013-05-23,WR,,,44.0,,,,,,875.0,59.0
2013-05-24,ER,,,58.0,,,,,,319.0,0.0
2013-05-24,NER,,,18.0,,,,,,33.0,0.0
2013-05-24,NR,,,278.0,,,,,,925.0,24.0
2013-05-24,SR,,,40.0,,,,,,732.0,105.0
2013-05-24,WR,,,44.0,,,,,,872.0,69.0
2013-05-25,ER,,,53.0,,,,,,312.0,0.0
2013-05-25,NER,,,22.0,,,,,,33.0,0.0
2013-05-25,NR,,,281.0,,,,,,929.0,33.0
2013-05-25,SR,,,36.0,,,,,,719.0,103.0
2013-05-25,WR,,,41.0,,,,,,870.0,72.0
2013-05-26,ER,,,59.0,,,,,,309.0,0.0
2013-05-26,NER,,,15.0,,,,,,34.0,0.0
2013-05-26,NR,,,262.0,,,,,,904.0,27.0
2013-05-26,SR,,,26.0,,,,,,689.0,90.0
2013-05-26,WR,,,30.0,,,,,,849.0,66.0
2013-05-27,ER,,,44.0,,,,,,302.0,0.0
2013-05-27,NER,,,13.0,,,,,,32.0,0.0
2013-05-27,NR,,,275.0,,,,,,916.0,20.0
2013-05-27,SR,,,30.0,,,,,,695.0,90.0
2013-05-27,WR,,,31.0,,,,,,866.0,54.0
2013-05-28,ER,,,55.0,,,,,,308.0,0.0
2013-05-28,NER,,,13.0,,,,,,31.0,0.0
2013-05-28,NR,,,274.0,,,,,,927.0,13.0
2013-05-28,SR,,,34.0,,,,,,700.0,85.0
2013-05-28,WR,,,41.0,,,,,,864.0,54.0
2013-05-29,ER,,,63.0,,,,,,295.0,0.0
2013-05-29,NER,,,17.0,,,,,,33.0,0.0
2013-05-29,NR,,,267.0,,,,,,924.0,13.0
2013-05-29,SR,,,31.0,,,,,,684.0,76.0
2013-05-29,WR,,,45.0,,,,,,862.0,57.0
2013-05-31,ER,,,63.0,,,,,,254.0,0.0
2013-05-31,NER,,,22.0,,,,,,33.0,0.0
2013-05-31,NR,,,265.0,,,,,,909.0,14.0
2013-05-31,SR,,,32.0,,,,,,653.0,64.0
2013-05-31,WR,,,48.0,,,,,,865.0,50.0
2013-06-01,ER,,,66.0,,,,,,281.0,0.0
